Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
437,4 YOU DRESSES Beautiful Green Color Stretch Cotton Sarin Fabric Fit & Flare Maxi Frock for Girls(SRN GRN),kids' fashion,Kids' Fashion,https://m.media-amazon.com/images/I/71jfOYp94aL._AC_UL320_.jpg,https://www.amazon.in/YOU-DRESSES-Beautiful-Maroon-Stretch/dp/B0B39QV5V7/ref=sr_1_2118?qid=1679221223&s=apparel&sr=1-2118,3.7,466.0,395.0,895.0
27,Himalaya Gentle Baby Wash (400ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61yJP3LIksS._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Gentle-Baby-Bath-400ml/dp/B01N32GD33/ref=sr_1_124?qid=1679219575&s=baby&sr=1-124,4.3,17468.0,211.0,265.0
7616,"Sony WF-C500 Truly Wireless Bluetooth Earbuds with 20Hrs Battery, True Wireless Earbuds with Mic for Phone Calls, Quick Ch...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51rvscpuXTL._AC_UL320_.jpg,https://www.amazon.in/Sony-Bluetooth-Wireless-Discount-transactions/dp/B09CGDZHC5/ref=sr_1_7619?qid=1679134121&s=electronics&sr=1-7619,4.1,5844.0,4990.0,8990.0
7864,"SanDisk Extreme uSD,160MB/s R, 90MB/s W,C10,UHS,U3,V30,A2, 512GB, for 4K Video on Smartphones, Action Cams & Drones","tv, audio & cameras",Cameras,https://m.media-amazon.com/images/I/51I62Ywq7hL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Extreme-microSDXC-Smartphones-Action/dp/B082WNRRLY/ref=sr_1_7871?qid=1679130372&s=electronics&sr=1-7871,4.5,21982.0,5300.0,32000.0
1217,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61pBvlYVPxL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Feet/dp/B014I8SSD0/ref=sr_1_1220?qid=1679133725&s=electronics&sr=1-1220,4.4,437651.0,269.0,475.0
8216,"LUNAGARIYA®, Protective Samsung Smart LCD/LED Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Sel...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/41l24c4+r7L._AC_UL320_.jpg,https://www.amazon.in/PRUSHTI-COVER-BAGS-Protective-Samsung/dp/B07TRFYV68/ref=sr_1_8220?qid=1679128588&s=electronics&sr=1-8220,4.0,265.0,249.0,299.0
337,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31+GLbqRPtL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Original-EHS64AVFBECINU-Hands-Free-Remote/dp/B01F262EUU/ref=sr_1_340?qid=1679133669&s=electronics&sr=1-340,4.2,32094.0,449.0,499.0
87,"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Steam (ELENA SXS 6510, Silver, In-built Heater, 4 years Comprehensiv...",appliances,Washing Machines,https://m.media-amazon.com/images/I/61HNYiuLPML._AC_UL320_.jpg,https://www.amazon.in/IFB-ELENA-SXS-6510-Comprehensive/dp/B0BH8S16YY/ref=sr_1_94?qid=1679134392&s=kitchen&sr=1-94,4.2,1442.0,26890.0,31290.0
402,"Belkin Apple Certified Lightning to USB Charge and Sync Cable for iPhone, iPad, Air Pods, 39.6 inch (100cm) Black","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/417RMDUJkGL._AC_UL320_.jpg,https://www.amazon.in/Belkin-Lightning-AirPods-MFi-Certified-Charging/dp/B084MZXJN6/ref=sr_1_409?qid=1679128145&s=electronics&sr=1-409,4.4,823.0,999.0,1699.0
2749,"SanDisk Ultra Luxe USB 3.1 Flash Drive 256GB, Upto 150MB/s, All Metal, Metallic Silver","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61MtrB2hqcL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra-Flash-Metallic-Silver/dp/B09DK9MDLR/ref=sr_1_2752?qid=1679133826&s=electronics&sr=1-2752,4.3,31693.0,1826.0,5000.0
77,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,appliances,All Appliances,https://m.media-amazon.com/images/I/61QNGI22XDL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00H3H03Q4/ref=sr_1_78?qid=1679135589&s=appliances&sr=1-78,4.2,13467.0,,1130.0
86,Jockey Men's Cotton Boxers (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81pW8cY2RKL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-Boxer-1223_Large_Assorted/dp/B01N03JK5G/ref=sr_1_95?qid=1679142474&s=apparel&sr=1-95,4.1,2723.0,,879.0
2118,Skullcandy Sesh Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71e5bSW1U9L._AC_UL320_.jpg,https://www.amazon.in/Skullcandy-Wireless-Resistant-Tracking-S2TVW-N896/dp/B0857JLRFJ/ref=sr_1_2122?qid=1679128818&s=electronics&sr=1-2122,3.5,53606.0,3799.0,9999.0
27,"Whisper Ultra Soft Sanitary Pads For Women, X-Large Pack of 50 Napkins",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ANdAcpqxL._AC_UL320_.jpg,https://www.amazon.in/Whisper-Ultra-Soft-Sanitary-Pads/dp/B07HS3WP4D/ref=sr_1_148?qid=1679215339&s=hpc&sr=1-148,4.4,25281.0,545.0,625.0
338,"Wayona Nylon Braided 6Ft Usb Data Sync And Charging Cable For Iphones, Ipad Air, Ipad Mini, Ipod Nano And Ipod Touch (6Ft,...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/610NrYhJYQL._AC_UL320_.jpg,https://www.amazon.in/Wayona-Braided-WN6LB1-Syncing-Charging/dp/B07JGDHXJ3/ref=sr_1_342?qid=1679128142&s=electronics&sr=1-342,4.2,25351.0,419.0,1299.0
330,"SanDisk Ultra 64 GB USB 3.0 Pen Drive (SDCZ48-064G-135/SDCZ48-064G-UAM46, Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61TuPtmTScL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra-064G-I35-SDCZ48-Drive/dp/B00KYK2ABI/ref=sr_1_333?qid=1679133668&s=electronics&sr=1-333,4.3,57270.0,468.0,1300.0
48,AMAZARA Baby Proofing Corner Guards I Pre-Taped Corner Protectors I Child Safety Edge Guards I 10 Pieces Brown,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71nD2dIg2TL._AC_UL320_.jpg,https://www.amazon.in/AMAZARA-Proofing-Corner-Pre-Taped-Protectors/dp/B07NSQFTLH/ref=sr_1_193?qid=1679219577&s=baby&sr=1-193,4.2,11784.0,316.0,599.0
822,boAt Bassheads 220 Wired in Ear Earphones(Raging Red Indi),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61gs3SGzk4L._AC_UL320_.jpg,https://www.amazon.in/boAt-Bassheads-220-Earphones-Raging/dp/B0BRXWF8LQ/ref=sr_1_826?qid=1679133701&s=electronics&sr=1-826,4.1,276491.0,399.0,999.0
